job_id,job_name,update_time,com_name,salary,workplace,job_exp,job_edu,job_rent,company_type,company_size,job_welfare,company_ind,job_info,job_type
1,java/python/c++/全额社保公积金,01-04发布,上海兆殷特科技,1.2-2.4万·14薪,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
2,Python开发工程师,01-04发布,深圳市众云网,1.8-3万,深圳,无需经验,本科,,民营 , 150-500人,,计算机服务(系统、数据服务、维修),,
3,RPA实施开发工程师（python）,01-04发布,上海虎尾智能科技,8千-1.5万,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
4,python算法工程师,01-04发布,北明软件,1.5-2.5万,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
5,java/python/c++/全额社保公积金,01-04发布,上海兆殷特科技,1.2-2.4万·14薪,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
6,Python开发工程师,01-04发布,上海明运信息科技,1-2万,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
7,Python实施开发工程师,01-04发布,上海虎尾智能科技,8千-1.5万,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
8,Python软件工程师,01-04发布,杭州泛利科技,1-2万·13薪,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
9,java/python/c++/全额社保公积金,01-04发布,上海兆殷特科技,1.2-2.4万·14薪,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
10,PYTHON研发工程师,01-04发布,东方电子,8千-1.3万·16薪,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
11,Python开发工程师,01-04发布,安徽丹焱信息科技,1.3-2.2万,深圳,无需经验,本科,,民营 , 150-500人,,互联网/电子商务,,
12,高级python工程师,01-04发布,北京经世万方信息技术,1.5-2万,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
13,java/python/c++/全额社保公积金,01-04发布,上海兆殷特科技,1.2-2.4万·14薪,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
14,Python数据分析师,01-04发布,上海特思尔大宇宙商务咨询,8千-1万·13薪,深圳,无需经验,本科,,民营 , 150-500人,,互联网/电子商务,,
15,Python后端开发工程师（14薪）,01-04发布,上海数药智能科技,1.5-2.5万·14薪,深圳,无需经验,本科,,民营 , 150-500人,,医疗/护理/卫生,,
16,Python算法开发工程师,01-04发布,北京经世万方信息技术,8千-1.5万,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
17,Python开发工程师,01-04发布,杭州迪英加科技,1.5-2万,深圳,无需经验,本科,,民营 , 150-500人,,医疗设备/器械,,
18,Python开发工程师,01-04发布,武汉模鼎科技,8千-1.5万,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
19,Python开发工程师,01-04发布,合肥市合趣网络科技,1-2万,深圳,无需经验,本科,,民营 , 150-500人,,互联网/电子商务,,
20,java/python/c++/全额社保公积金,01-04发布,上海兆殷特科技,1.2-2.4万·14薪,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
21,Python开发工程师,01-04发布,杭州泛利科技,8千-1.3万·15薪,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
22,运维开发-Python方向-驻场,01-04发布,深圳市同和信息技术,1-1.5万,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
23,软件工程师Python/Linux/C/C++/Pipeline TD工程师,01-04发布,太崆动漫（武汉）,10-11万/年,深圳,无需经验,本科,,民营 , 150-500人,,影视/媒体/艺术/文化传播,,
24,Python开发工程师,01-04发布,南京优玛软件科技,1-1.7万·13薪,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
25,Python开发工程师,01-03发布,软通动力信息技术（集团）,9千-1.5万·13薪,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
26,Python 全栈开发（全职/实习）,01-04发布,上海禾楷电气科技,1.2-2.3万·13薪,深圳,无需经验,本科,,民营 , 150-500人,,仪器仪表/工业自动化,,
27,java/python/c++/全额社保公积金,01-04发布,上海兆殷特科技,1.2-2.4万·14薪,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
28,Python软件开发工程师,01-04发布,上海移宇科技,18-25万/年,深圳,无需经验,本科,,民营 , 150-500人,,医疗设备/器械,,
29,Python爬虫APP,01-04发布,广州铂锐盛途科技,1.3-2万,深圳,无需经验,本科,,民营 , 150-500人,,网络游戏,,
30,Python开发工程师,01-04发布,成都西电网络安全研究院,8千-1.2万,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
31,Python开发-驻场岗位,01-04发布,深圳市同和信息技术,1.4-1.9万,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
32,（产研二部）python后端工程师,01-04发布,浙江木链物联网科技,1.2-2万,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
33,java/python/c++/全额社保公积金,01-04发布,上海兆殷特科技,1.2-2.4万·14薪,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
34,中级Python工程师,01-04发布,北京经世万方信息技术,1-1.2万,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
35,Python/Django Web开发工程师,01-04发布,上海禾楷电气科技,1.2-2.3万·13薪,深圳,无需经验,本科,,民营 , 150-500人,,仪器仪表/工业自动化,,
36,Python开发工程师,01-04发布,山东国茂医药,1.1-2.2万,深圳,无需经验,本科,,民营 , 150-500人,,制药/生物工程,,
37,高级软件工程师（Python）,01-04发布,傲讯全通科技（深圳）,1.2-2万,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
38,Python开发工程师（双休+五险）,01-04发布,深圳市聚点数码科技有限公司郑州,5-8千,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
39,（产研二部）资深python工程师,01-04发布,浙江木链物联网科技,2.1-3万,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
40,java/python/c++/全额社保公积金,01-04发布,上海兆殷特科技,1.2-2.4万·14薪,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
41,Python开发工程师,01-04发布,上海携银信息科技,1.3-1.8万,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
42,高级Python开发工程师（上海）,01-04发布,上海华讯网络系统,1.5-2.5万,深圳,无需经验,本科,,民营 , 150-500人,,计算机服务(系统、数据服务、维修),,
43,Python开发工程师,01-04发布,南京拾柴信息科技,8千-1.5万,深圳,无需经验,本科,,民营 , 150-500人,,计算机软件,,
44,Python开发工程师(中高级）,01-04发布,迪爱斯信息技术,1-2万,深圳,无需经验,本科,,民营 , 150-500人,,通信/电信/网络设备,,
