job_id,job_name,update_time,com_name,salary,workplace,job_exp,job_edu,job_rent,company_type,company_size,job_welfare,company_ind,job_info,job_type
1,Python编程老师,11-09发布,太原智乐高文化交流,3-6千,太原·迎泽区,2年,大专,,,,,,,
2,移动通信工程师,12-30发布,武汉千卉暖科技,7千-1万,太原·迎泽区,2年,大专,,民营,,,计算机软件,,
3,软件测试开发工程师（华为研究所）,12-07发布,上海兆殷特科技,1.6-3万,太原·迎泽区,2年,大专,,民营 , 150-500人,,计算机软件,,
4,web前端开发工程师,01-04发布,北京龙软科技,8千-1.2万·13薪,太原·迎泽区,2年,大专,,已上市 , 150-500人,,计算机软件,,
5,图像算法工程师,11-24发布,中科慧远视觉技术（洛阳）,2-3.6万,太原·迎泽区,2年,大专,,民营 , 150-500人,,仪器仪表/工业自动化,,
6,软件研发工程师,11-14发布,安徽中科云信创信息技术,1-2万,太原·迎泽区,2年,大专,,民营 , 50-150人,,计算机软件,,
7,软件开发工程师,11-19发布,众邦联信数据通信技术（大连）,1.2-2.4万,太原·迎泽区,2年,大专,,民营,,,通信/电信/网络设备,,
8,通信工程师,01-05发布,山西飞马数据科技,7-9千·13薪,太原·迎泽区,2年,大专,,民营,,,计算机软件,,
9,软件测试实习生,01-05发布,点奇互联（北京）科技,8千-1.5万,太原·迎泽区,2年,大专,,民营,,,计算机软件,,
10,软件测试实习生,01-05发布,内蒙古钛驰新迪商务,8千-1.5万,太原·迎泽区,2年,大专,,民营,,,计算机软件,,
11,生信分析工程师,12-13发布,云南一同实验教育科技,8千-1.2万,太原·迎泽区,2年,大专,,创业公司 , 50-150人,,制药/生物工程,,
12,运维工程师,01-05发布,山西飞马数据科技,9千-1.5万,太原·迎泽区,2年,大专,,民营,,,计算机软件,,
13,生信分析工程师,12-13发布,云南一同实验教育科技,1-1.5万,太原·迎泽区,2年,大专,,创业公司 , 50-150人,,制药/生物工程,,
14,系统工程师（软件）,01-03发布,山西支点科技,1.2-2万,太原·迎泽区,2年,大专,,民营 , 50-150人,,航天/航空,,
15,zy2101-交付运维工程师,11-11发布,中盈优创资讯科技,8千-1.2万·14薪,太原·迎泽区,2年,大专,,国企 , 500-1000人,,通信/电信运营、增值服务,,
16,商务经理,11-17发布,广东双林生物制药,8千-1.2万,太原·迎泽区,2年,大专,,民营 , 500-1000人,,制药/生物工程,,
17,实验技术岗（事业单位+五险一金）,01-05发布,大连理工大学宁波研究院,14-17万/年,太原·迎泽区,2年,大专,,事业单位 , 150-500人,,学术/科研,,
18,研发软件类（2023届校招）,12-12发布,深圳市洲明科技,1.5-2万,太原·迎泽区,2年,大专,,已上市 , 5000-10000人,,电子技术/半导体/集成电路,,
19,数据库开发,12-26发布,北京思特奇信息技术,1-2万,太原·迎泽区,2年,大专,,已上市 , 1000-5000人,,计算机软件,,
20,IT开发工程师-技术类（太原）,01-05发布,中国移动通信集团设计院,1-2万,太原·迎泽区,2年,大专,,国企,,,通信/电信/网络设备,,
21,技术开发岗（事业单位+五险一金）,01-05发布,大连理工大学宁波研究院,14-17万/年,太原·迎泽区,2年,大专,,事业单位 , 150-500人,,学术/科研,,
22,测试工程师（工作地：常州）（太原）,01-05发布,常州星宇车灯,1-1.5万,太原·迎泽区,2年,大专,,已上市,,,汽车零配件,,
23,数据库开发工程师,12-26发布,北京思特奇信息技术,1.2-1.8万·13薪,太原·迎泽区,2年,大专,,已上市 , 1000-5000人,,计算机软件,,
