job_id,job_name,update_time,com_name,salary,workplace,job_exp,job_edu,job_rent,company_type,company_size,job_welfare,company_ind,job_info,job_type
1,Python爬虫APP,01-03发布,广州铂锐盛途科技,1.3-2万,广州·天河区,3-4年,大专,,,200-500人,,,,
2,Python开发工程师,01-03发布,广州英赛特软件,8千-1.4万,广州·天河区,3-4年,大专,,,100-200人,,计算机软件,,
3,Python开发工程师,01-03发布,友邦资讯科技（广州）,2-2.5万,广州·天河区,3-4年,大专,,,100-200人,,计算机软件,,
4,Python开发工程师/周末双休,01-03发布,深圳市睿服科技,1-1.5万,广州·天河区,3-4年,大专,,,,,计算机软件,,
5,Python数据开发工程师,01-03发布,广东省南方传媒发行物流,1-1.7万,广州·天河区,3-4年,大专,,,,,文字媒体/出版,,
6,Python开发工程师,01-03发布,广州纳诺新材料科技,15-20万/年,广州·天河区,3-4年,大专,,,,,新能源,,
7,00122-BI Specialist - Python,01-03发布,友邦资讯科技（广州）,10-15万/年,广州·天河区,3-4年,大专,,,,,计算机软件,,
8,Python开发工程师,01-03发布,广州外宝电子商务,8千-1万,广州·天河区,3-4年,大专,,,,,贸易/进出口,,
9,Python开发工程师,01-03发布,北京时空立方数字科技,8千-1.5万,广州·天河区,2-4年,大专,,,,,互联网/电子商务,,
10,Python爬虫开发工程师,01-03发布,广州铂锐盛途科技,1.3-2万,广州·天河区,3-4年,大专,,,,,网络游戏,,
11,Python开发工程师,01-03发布,中讯志远（武汉）科技,1-1.5万,广州·天河区,3-4年,大专,,,,,计算机软件,,
12,00122-BI Specialist - Python,01-03发布,友邦资讯科技（广州）,10-15万/年,广州·天河区,3-4年,大专,,,,,计算机软件,,
13,Python开发工程师（广州）,01-03发布,上海华讯网络系统,1.2-1.6万,广州·天河区,3-4年,大专,,,,,计算机服务(系统、数据服务、维修),,
14,Python后端开发工程师,01-03发布,广州赛业百沐生物科技,1-2万,广州·天河区,3-4年,大专,,,,,制药/生物工程,,
15,游戏客户端开发（Python）,01-03发布,北京时空立方数字科技,8千-1.3万·13薪,广州·天河区,3-4年,大专,,,,,互联网/电子商务,,
16,中级python开发工程师,01-03发布,图创集团,8千-1.2万,广州·天河区,3-4年,大专,,,,,计算机服务(系统、数据服务、维修),,
17,Python后端开发工程师,01-03发布,广州赛灵力科技,1-2万·13薪,广州·天河区,3-4年,大专,,,,,计算机软件,,
18,Python开发工程师/周末双休,01-03发布,深圳市睿服科技,1.2-1.8万,广州·天河区,3-4年,大专,,,,,计算机软件,,
19,工程师（C++/Python/MATLAB/Android),01-03发布,人工智能与数字经济广东省实验室（广州）,1.3-2.6万·14薪,广州·天河区,3-4年,大专,,,,,学术/科研,,
20,Python测试开发,01-03发布,海南钦诚软件技术,1.3-1.7万,广州·天河区,3-4年,大专,,,,,计算机软件,,
