job_id,job_name,update_time,com_name,salary,workplace,job_exp,job_edu,job_rent,company_type,company_size,job_welfare,company_ind,job_info,job_type
1,Python开发工程师,01-04发布,北京聘多多科技,1-2万,西安,1年,大专,,,,,,,
2,Python开发工程师,01-03发布,上海占域实业,6-8千,西安,1年,大专,,,,,计算机软件,,
3,Java/Python/C/C++/JS/测试,01-03发布,上海兆殷特科技,1.5-3万,西安,1年,大专,,,,,计算机软件,,
4,Python，matlab建模数据分析师,12-27发布,成都智极数据科技,500元/天,西安,1年,大专,,,,,计算机软件,,
5,Python开发工程师,12-15发布,上海宽宝信息科技,6-8千,西安,1年,大专,,,,,计算机硬件,,
6,后端架构师-python,12-14发布,上海轩田工业设备,2-4万,西安,1年,大专,,,,,电子技术/半导体/集成电路,,
7,软件开发(Java/JS/Python/C/C++),12-10发布,上海兆殷特科技,1.5-3万,西安,1年,大专,,,,,计算机软件,,
8,双休 Python开发工程师,12-11发布,石家庄日炬网络科技,1.5-3万,西安,1年,大专,,,,,计算机服务(系统、数据服务、维修),,
9,Python,12-04发布,中软国际科技服务,7-9千,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
10,Python开发工程师,12-03发布,华为技术,1.5-3万,西安,1年,大专,,民营 , 500-1000人,,通信/电信运营、增值服务,,
11,Python开发 西安,12-07发布,上海兆殷特科技,1.5-3万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
12,Python开发工程师,11-27发布,博彦科技,1.8-3.5万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
13,Python开发工程师,11-24发布,西安迈思途软件科技,8千-1万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
14,Python软件开发工程师,11-25发布,西安雷风电子科技,1.2-2.4万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
15,Java/Python/JS/C/C++软件开发,12-03发布,上海兆殷特科技,1.5-3万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
16,Python开发工程师,11-24发布,上海轩田工业设备,8千-1.5万,西安,1年,大专,,民营 , 500-1000人,,电子技术/半导体/集成电路,,
17,Java/python/web前端-软件开发工程师,11-13发布,河北旭高企业管理咨询,1.5-3万·14薪,西安,1年,大专,,民营 , 500-1000人,,专业服务(咨询、人力资源、财会),,
18,Python开发工程师,11-08发布,京北方信息技术股份有限公司珠海,1-1.6万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
19,JAVA、C/C++、web、python软件开发,11-26发布,上海兆殷特科技,1.5-3万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
20,运维工程师(5-8k),01-04发布,华皓科技（西安）,5-8千,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
21,C++高级软件工程师,01-04发布,江苏锐天智能科技股份有限公司西安,1.3-2.5万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
22,数据建模,01-04发布,亚信科技OBC,1-1.5万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
23,大数据开发工程师,12-07发布,上海兆殷特科技,1.5-3万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
24,软件开发工程师（云计算）,01-04发布,通号通信信息集团,1-2万,西安,1年,大专,,民营 , 500-1000人,,通信/电信/网络设备,,
25,数据分析/数据录入,01-03发布,陕西众拓科技发展,5-7千·13薪,西安,1年,大专,,民营 , 500-1000人,,电子技术/半导体/集成电路,,
26,算法工程师-数据分析方向,01-03发布,广东智能无人系统研究院,1.5-3万,西安,1年,大专,,民营 , 500-1000人,,学术/科研,,
27,算法工程师,11-15发布,西安开天铁路电气,8千-1万,西安,1年,大专,,民营 , 500-1000人,,仪器仪表/工业自动化,,
28,高性能集群运维(J10237),01-04发布,曙光信息产业,2-3万,西安,1年,大专,,民营 , 500-1000人,,计算机硬件,,
29,自动驾驶感知算法开发,12-28发布,西安大朴智联科技集团,1.3-1.5万,西安,1年,大专,,民营 , 500-1000人,,电子技术/半导体/集成电路,,
30,软件开发工程师,12-30发布,华为技术,1.7-3万,西安,1年,大专,,民营 , 500-1000人,,通信/电信运营、增值服务,,
31,自动化测试高级工程师,11-23发布,苏州汇川联合动力系统,2-2.8万·17薪,西安,1年,大专,,民营 , 500-1000人,,汽车零配件,,
32,信号处理工程师,12-01发布,南京云创大数据科技,1-1.8万·14薪,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
33,销售数据分析师,12-30发布,陕西硒谷产业发展,5-7千,西安,1年,大专,,民营 , 500-1000人,,快速消费品(食品、饮料、化妆品),,
34,IT系统运维工程师,12-30发布,爱讯达科技（深圳）,1-1.5万,西安,1年,大专,,民营 , 500-1000人,,通信/电信运营、增值服务,,
35,图像算法工程师,01-04发布,杭州快手哥智能科技,1.5-3万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
36,测试开发,12-03发布,上海兆殷特科技,1.5-3万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
37,自动化测试,11-28发布,中软国际科技服务,1.3-2.3万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
38,软件工程师/ Software Engineer,12-21发布,应用材料投资（中国）,1.5-2.5万,西安,1年,大专,,民营 , 500-1000人,,电子技术/半导体/集成电路,,
39,仿真软件二次开发工程师,01-04发布,英特工程仿真技术（大连）,7千-1.4万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
40,嵌入式软件工程师,01-02发布,深圳市禾望电气,1.2-2万·14薪,西安,1年,大专,,民营 , 500-1000人,,新能源,,
41,测试开发工程师 青岛(J10672),12-30发布,曙光信息产业,1.5-2.5万,西安,1年,大专,,民营 , 500-1000人,,计算机硬件,,
42,软件开发工程师,12-05发布,上海兆殷特科技,1.5-3万·16薪,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
43,Devops运维开发工程师,12-05发布,博彦科技,1.8-3万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
44,CAE软件开发工程师,12-02发布,上海数巧信息科技,1.5-2.2万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
45,运维开发工程师(J10729),01-04发布,曙光信息产业,1.8-2.5万,西安,1年,大专,,民营 , 500-1000人,,计算机硬件,,
46,数据通信工程实习生,01-04发布,陕西秘境心发现网络科技,4-6千,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
47,数据分析师,01-03发布,中研智业集团,6-8千,西安,1年,大专,,民营 , 500-1000人,,学术/科研,,
48,配置管理工程师（实习生,12-28发布,陕西德宝璐信息科技,4-7千,西安,1年,大专,,民营 , 500-1000人,,通信/电信运营、增值服务,,
49,高性能集群运维(J10237),01-04发布,曙光信息产业,2-3万,西安,1年,大专,,民营 , 500-1000人,,计算机硬件,,
50,测试开发,12-18发布,上海兆殷特科技,1.5-3万,西安,1年,大专,,民营 , 500-1000人,,计算机软件,,
51,人工智能算法工程师,12-06发布,中煤科工集团信息技术,1-2万,西安·碑林区,2年,本科,,国企 , 150-500人,,计算机软件,,
52,算法工程师,12-13发布,西安鼎力信息技术有限责任,2-3.5万,西安·碑林区,2年,本科,,国企 , 150-500人,,计算机软件,,
53,测试工程师（固件）,01-03发布,西安恩狄集成电路,8千-1.5万,西安·碑林区,2年,本科,,国企 , 150-500人,,电子技术/半导体/集成电路,,
54,软件测试,12-18发布,上海兆殷特科技,1.5-3万,西安·碑林区,2年,本科,,国企 , 150-500人,,计算机软件,,
55,金融/医学数据分析师,12-27发布,成都智极数据科技,500元/天,西安·碑林区,2年,本科,,国企 , 150-500人,,计算机软件,,
56,算法工程师,12-13发布,西安鼎力信息技术有限责任,2-3.5万,西安·碑林区,2年,本科,,国企 , 150-500人,,,,
57,软件工程师(工具开发方向),12-20发布,华为技术,1.2-2万·14薪,西安·碑林区,2年,本科,,国企 , 150-500人,,通信/电信运营、增值服务,,
58,软件测试开发工程师（华为研究所）,12-03发布,上海兆殷特科技,1.6-3万,西安·碑林区,2年,本科,,国企 , 150-500人,,计算机软件,,
59,数据分析师,12-27发布,成都智极数据科技,500元/天,西安·碑林区,2年,本科,,国企 , 150-500人,,计算机软件,,
60,数据运维工程师,11-27发布,亿维融智软件科技（北京）有限公司西安,6千-1.2万,西安·碑林区,2年,本科,,国企 , 150-500人,,计算机软件,,
